series_id,h,target_year,last_obs_t,n_obs,modelo_central,pron_central_t,pi80_lo,pi80_hi,pi95_lo,pi95_hi,esc_normal_t,esc_historico_t,esc_estres_t,fallback_central,origen_provisional,muni_code,crop,cycle,group
76001|Acelga,1,2026,24.0,7,pool_A_full,23.565973206257897,15.23434837200881,50.02176809974108,8.874140233869715,86.78789511006572,24.75303115289873,23.565973206257897,21.311869462419615,False,True,76001,Acelga,Transitorio,Hortalizas
76001|Aguacate demás variedades,1,2026,72.0,7,pool_A_full,73.55803225664789,54.3252960579312,111.25346705780177,31.980638194617747,316.5665074458561,74.80815046108445,73.55803225664789,68.25523208476427,False,True,76001,Aguacate,Permanente,Frutales
76001|Ahuyama,1,2026,48.0,7,pool_A_full,47.131946412515795,30.807849797889986,98.96660777204477,18.346336683507243,171.00223364360224,49.50606230579746,47.131946412515795,42.62373892483923,False,True,76001,Ahuyama,Transitorio,Hortalizas
76001|Ají,1,2026,28.0,6,pool_A_full,27.49363540730088,17.829931942989003,58.179241378458386,10.452839642142635,100.82361819898843,28.878536345048516,27.49363540730088,24.863847706156218,False,True,76001,Ají,Transitorio,Hortalizas
76001|Arveja,1,2026,16.6,7,pool_A_full,16.069899704789666,10.28059109061525,34.45295995038194,5.861140083806984,60.00025235074682,16.6385548710422,16.069899704789666,14.492187028948189,False,True,76001,Arveja,Transitorio,Leguminosas
76001|Café,1,2026,682.42,7,pool_A_full,691.9003408705488,515.4817590628256,880.8158733454432,300.3844685579783,1355.4620643338835,703.0337131238492,691.9003408705488,642.8073557389292,False,True,76001,Café,Permanente,Cultivos tropicales tradicionales
76001|Caña de azúcar,1,2026,465000.0,7,pool_A_full,471459.89054366114,466469.60590341303,521284.58668286615,422848.4471447447,651668.0220329252,479046.15427828894,471459.89054366114,438008.0015512472,False,True,76001,Caña,Permanente,Cultivos tropicales tradicionales
76001|Cebolla de rama,1,2026,49.0,7,pool_A_full,48.11386196277654,31.456745690635024,101.00597609172411,18.741011535575478,174.5111644158328,50.5374386038349,48.11386196277654,43.511733485773384,False,True,76001,Cebolla de rama,Transitorio,Hortalizas
76001|Cilantro,1,2026,104.0,7,pool_A_full,102.11921722711756,60.61818637699418,163.02941786015458,32.76630343343642,277.84323146299545,107.26313499589449,102.11921722711756,92.35143433715166,False,True,76001,Cilantro,Transitorio,Hortalizas
76001|Espinaca,1,2026,160.0,1,pool_A_full,157.10648804171933,93.47545578347085,250.4964319044187,50.771840337513346,426.53354055935205,165.02020768599152,157.10648804171933,142.0791297494641,False,True,76001,Espinaca,Transitorio,Hortalizas
76001|Frijol,1,2026,86.02000000000001,7,pool_A_full,83.27305859072332,54.691593410514656,174.02911105416598,32.873032078775836,300.1545427511193,86.21978855464157,83.27305859072332,75.09746555603152,False,True,76001,Frijol,Transitorio,Leguminosas
76001|Guayaba,1,2026,72.0,7,pool_A_full,73.55803225664789,54.3252960579312,111.25346705780177,31.980638194617747,316.5665074458561,74.80815046108445,73.55803225664789,68.25523208476427,False,True,76001,Guayaba,Permanente,Frutales
76001|Habichuela,1,2026,60.0,6,pool_A_full,58.08397483658915,38.045464335841885,121.71318694410448,22.74843643329772,210.13992684478535,60.139354955574206,58.08397483658915,52.38139889981273,False,True,76001,Habichuela,Transitorio,Leguminosas
76001|Lechuga,1,2026,180.0,7,pool_A_full,176.74479904693422,105.21019485721241,281.73465120594136,57.2023892318265,479.63722237947894,185.64773364674045,176.74479904693422,159.8390209681471,False,True,76001,Lechuga,Transitorio,Hortalizas
76001|Limón Tahití,1,2026,110.0,5,pool_A_full,112.3803270587676,83.51268863406585,143.29286035550967,48.31599481190104,220.95993193445375,114.29022987110125,112.3803270587676,104.27882679616764,False,True,76001,Limón,Permanente,Frutales
